method,male_cutoff_hz,female_cutoff_hz,male_si_sdr_db,female_si_sdr_db,avg_si_sdr_db,min_si_sdr_db,male_snr_db,female_snr_db,male_corr,female_corr,avg_corr,male_spectral_l1,female_spectral_l1,reconstruction_error,balanced_score
Butterworth,900.0,1100.0,0.8746472129214155,-5.568745696316885,-2.347049241697735,-5.568745696316885,2.8944907817183427,1.0290609497103442,0.7417406890691861,0.4660121061985364,0.6038763976338613,nan,nan,0.106574106374238,-4.13681750733693
Butterworth,800.0,1050.0,0.8770437141142815,-5.49754194063834,-2.310249113262029,-5.49754194063834,2.973529339629064,1.050142636776611,0.7418327374065814,0.46900692321338777,0.6054198303099846,nan,nan,0.1447526463866147,-4.1376857157344595
Butterworth,700.0,1000.0,0.9804949609694873,-5.437883716707361,-2.228694377868937,-5.437883716707361,3.153645726888363,1.0693602762523324,0.7457903874061279,0.47152258227845506,0.6086564848422915,nan,nan,0.20798250288732423,-4.146288272312683
Butterworth,1050.0,1200.0,1.0383221238613074,-5.759559192735174,-2.3606185344369335,-5.759559192735174,2.9287769274046154,0.9791430106224086,0.7479889935909808,0.45802914138630985,0.6030090674886454,nan,nan,0.06748091593108471,-4.169341827689398
Butterworth,750.0,1050.0,0.9280517203757344,-5.49754194063834,-2.2847451101313028,-5.49754194063834,3.058759962521724,1.050142636776611,0.7437879956691509,0.46900692321338777,0.6063974594412693,nan,nan,0.18256157035213258,-4.185844302272199
Butterworth,950.0,1150.0,0.9252372478621034,-5.656044366179178,-2.3654035591585374,-5.656044366179178,2.8998966564318795,1.0054278801034555,0.7436803066474288,0.46235201680570703,0.6030161617265679,nan,nan,0.10019647340775677,-4.1877863656105045
Butterworth,850.0,1100.0,0.8546389815117222,-5.568745696316885,-2.3570533574025814,-5.568745696316885,2.9157078505843255,1.0290609497103442,0.7409715394020552,0.4660121061985364,0.6034918228002958,nan,nan,0.13396940266727708,-4.202381365294986
Butterworth,1150.0,1250.0,1.104330534406345,-5.882182324044294,-2.3889258948189744,-5.882182324044294,2.934923931305802,0.9497370818840387,0.7504865372135556,0.4529329775681296,0.6017097573908426,nan,nan,0.04106141822668254,-4.208720378512802
Butterworth,650.0,1000.0,1.033408859082625,-5.437883716707361,-2.202237428812368,-5.437883716707361,3.2626587984970317,1.0693602762523324,0.7478025735595151,0.47152258227845506,0.609662577918985,nan,nan,0.25347893282273404,-4.208811996973546
Butterworth,700.0,1050.0,0.9804949609694873,-5.49754194063834,-2.258523489834426,-5.49754194063834,3.153645726888363,1.050142636776611,0.7457903874061279,0.46900692321338777,0.6073986553097579,nan,nan,0.2245990598774217,-4.241695269288924
Butterworth,600.0,1000.0,1.1399825854541727,-5.437883716707361,-2.148950565626594,-5.437883716707361,3.427581850960247,1.0693602762523324,0.7518300738151249,0.47152258227845506,0.61167632804679,nan,nan,0.30194334999247496,-4.248426467871645
Butterworth,1000.0,1200.0,0.9850208582244385,-5.759559192735174,-2.3872691672553676,-5.759559192735174,2.9152658060467793,0.9791430106224086,0.7459628184880208,0.45802914138630985,0.6019959799371654,nan,nan,0.09273101917974191,-4.2485188421081075
Butterworth,800.0,1100.0,0.8770437141142815,-5.568745696316885,-2.345850991101302,-5.568745696316885,2.973529339629064,1.0290609497103442,0.7418327374065814,0.4660121061985364,0.603922421802559,nan,nan,0.1640282948495062,-4.250435585353639
Butterworth,1100.0,1250.0,1.0783652848124894,-5.882182324044294,-2.401908519615902,-5.882182324044294,2.9354980505374364,0.9497370818840387,0.7495056463710354,0.4529329775681296,0.6012193119695826,nan,nan,0.0627251079619703,-4.266011273622825
Butterworth,900.0,1150.0,0.8746472129214155,-5.656044366179178,-2.3906985766288815,-5.656044366179178,2.8944907817183427,1.0054278801034555,0.7417406890691861,0.46235201680570703,0.6020463529374466,nan,nan,0.126297459973242,-4.267222973790061
Butterworth,750.0,1100.0,0.9280517203757344,-5.568745696316885,-2.3203469879705754,-5.568745696316885,3.058759962521724,1.0290609497103442,0.7437879956691509,0.4660121061985364,0.6049000509338436,nan,nan,0.19947107427243602,-4.293861882806203
Butterworth,650.0,1050.0,1.033408859082625,-5.49754194063834,-2.2320665407778573,-5.49754194063834,3.2626587984970317,1.050142636776611,0.7478025735595151,0.46900692321338777,0.6084047483864514,nan,nan,0.2679996478691726,-4.300027310062469
Butterworth,850.0,1150.0,0.8546389815117222,-5.656044366179178,-2.400702692333728,-5.656044366179178,2.9157078505843255,1.0054278801034555,0.7409715394020552,0.46235201680570703,0.6016617781038811,nan,nan,0.15228990797078815,-4.329981135157132
Butterworth,950.0,1200.0,0.9252372478621034,-5.759559192735174,-2.4171609724365353,-5.759559192735174,2.8998966564318795,0.9791430106224086,0.7436803066474288,0.45802914138630985,0.6008547240168693,nan,nan,0.11822487812234714,-4.331680877015078
Butterworth,1050.0,1250.0,1.0383221238613074,-5.882182324044294,-2.421930100091493,-5.882182324044294,2.9287769274046154,0.9497370818840387,0.7479889935909808,0.4529329775681296,0.6004609855795552,nan,nan,0.08575857755797732,-4.333616446070484
Butterworth,600.0,1050.0,1.1399825854541727,-5.49754194063834,-2.1787796775920834,-5.49754194063834,3.427581850960247,1.050142636776611,0.7518300738151249,0.46900692321338777,0.6104184985142563,nan,nan,0.3145987852689445,-4.335911221420631
Butterworth,700.0,1100.0,0.9804949609694873,-5.568745696316885,-2.294125367673699,-5.568745696316885,3.153645726888363,1.0290609497103442,0.7457903874061279,0.4660121061985364,0.6059012468023321,nan,nan,0.23929197716403527,-4.345279676555547
Butterworth,1200.0,1300.0,1.1174682889944023,-6.027748121106018,-2.455139916055808,-6.027748121106018,2.927770067275372,0.9168516932019282,0.7509820738325408,0.44691921003788004,0.5989506419352104,nan,nan,0.040103355189867934,-4.351319403118133
